New Releases For 7/24/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. For more information, go to www.digitalcomicsreader.com.

PREVIEWS  PUBLICATIONS

JUN130004 	PREVIEWS #299 AUG 2013 CUSTOMER ORDER FORM 	PI
MAY130638 	SUPERIOR SPIDER-MAN TEAM UP #1 NOW 	$3.99
APR130707 	TOWER CHRONICLES BOOK ONE PREM HC GEISTHAWK 	$34.99
MAY130623 	ULTIMATE COMICS X-MEN #29 	$3.99
MAY130613 	UNCANNY AVENGERS #10 NOW 	$3.99
MAY130597 	WHAT IF AVX #3 	$3.99
MAY130693 	WOLVERINE #7 NOW 	$3.99
MAY130690 	WOLVERINE AND X-MEN #33 	$3.99
MAY130738 	X-MEN TP X-TERMINATION 	$24.99
MAY130734 	X-TREME X-MEN TP VOL 02 YOU CANT GO HOME AGAIN 	$16.99
MAY130621 	YOUNG AVENGERS #8 NOW 	$2.99
 
COMICS & GRAPHIC NOVELS

MAR130797 	10TH MUSE SC VOL 01 	$14.95
MAY130834 	ALL NEW FATHOM #1 ASPEN RESERVED CVR 	$1.00
MAY130833 	ALL NEW FATHOM #1 DIRECT MARKET CVR [DIG] 	$1.00
MAY131000 	AOD VS HACK SLASH #1 CVR A SEELEY 	$3.99
MAY131001 	AOD VS HACK SLASH #1 CVR B TEMPLESMITH 	$3.99
MAY130999 	AOD VS HACK SLASH #1 MAIN CVR CASELLI 	$3.99
MAY131314 	ARCHER & ARMSTRONG TP ETERNAL WARRIOR 	$14.99
MAY131234 	ASTERIX OMNIBUS HC VOL 07 	$27.95
MAR131242 	ASTERIX OMNIBUS SC VOL 06 	$19.95
MAY130923 	BART SIMPSON COMICS #85 	$2.99
FEB131131 	BETTIE PAGE IN DANGER #8 (MR) 	$9.95
MAY130811 	BETTY & VERONICA DOUBLE DIGEST #214 [DIG/P+] 	$3.99
MAY131345 	BLACK BUTLER TP VOL 14 	$11.99
MAY131300 	BLOODSHOT #13 HARBINGER WARS REG BULLOCK 	$3.99
MAY130891 	CROSSED BADLANDS #33 (MR) 	$3.99
MAY130893 	CROSSED BADLANDS #33 TORTURE CVR (MR) 	$3.99
MAY130892 	CROSSED BADLANDS #33 WRAP CVR (MR) 	$3.99
MAY131071 	DAMSELS MERMAIDS #3 	$3.99
MAY131072 	DARK SHADOWS YEAR ONE #4 	$3.99
MAR131117 	DF WARLORD OF MARS DEJAH THORIS #27 RISQUE CVR 	$18.99
MAY131346 	DOUBT OMNIBUS GN VOL 02 	$18.99
MAY130939 	FANBOYS VS ZOMBIES #16 [DIG] 	$3.99
MAY130903 	FERALS #16 (MR) 	$3.99
MAY130905 	FERALS #16 GORE CVR (MR) 	$3.99
MAY130904 	FERALS #16 WRAP CVR (MR) 	$3.99
MAR131054 	GARTH ENNIS RED TEAM #4 (MR) 	$3.99
MAY131364 	GFT HUNTERS SHADOWLANDS #3 A CVR SIQUEIRA 	$2.99
MAY131365 	GFT HUNTERS SHADOWLANDS #3 B CVR ERIC J 	$2.99
MAY131378 	GFT ROBYN HOOD WANTED #3 A CVR TOLIBOA 	$2.99
MAY131379 	GFT ROBYN HOOD WANTED #3 B CVR LILLY 	$2.99
MAY131380 	GFT ROBYN HOOD WANTED #3 C CVR RUFFINO 	$2.99
MAY131381 	GFT WOUNDED WARRIORS SPECIAL A CVR CHEN 	$6.99
MAY131382 	GFT WOUNDED WARRIORS SPECIAL B CVR REYES 	$6.99
MAY131383 	GFT WOUNDED WARRIORS SPECIAL C CVR IGLE 	$6.99
MAY131384 	GFT WOUNDED WARRIORS SPECIAL D CVR TUCCI 	$6.99
MAY131298 	HARBINGER #14 HARBINGER WARS REG CRAIN 	$3.99
APR131312 	ILL GIVE IT MY ALL TOMORROW TP VOL 05 	$12.99
MAY131347 	IS THIS A ZOMBIE GN VOL 05 (MR) 	$11.99
MAY131348 	K ON COLLEGE TP VOL 01 	$11.99
JUN131374 	KINGDOM HEARTS FINAL MIX TP VOL 01 	$12.00
APR130798 	KOZMIK GN 	$14.95
MAR131257 	LAST O/T MOHICANS HC 	$22.95
APR131035 	MARK WAID GREEN HORNET #4 	$3.99
MAY131184 	MISSIONS OF LOVE GN VOL 04 	$10.99
MAY131277 	MONSTER ON THE HILL GN 	$19.95
APR131322 	NABARI NO OU TP VOL 14 	$11.99
MAY131252 	NEOZOIC TP VOL 01 NEW PTG 	$19.95
MAY130963 	PEANUTS VOL 2 #10 [DIG] 	$3.99
MAY131178 	PORCELAIN A GOTHIC FAIRY TALE GN (MR) 	$19.99
MAY131349 	PUELLA MAGI ORIKO MAGICA GN VOL 01 	$11.99
MAR130801 	REASON FOR DRAGONS HC 	$19.95
MAY131185 	SAILOR MOON TP KODANSHA ED VOL 12 	$10.99
MAY131220 	SIXTH GUN SONS O/T GUN #5 	$3.99
